,event_date,track,race_number,market_id,market_name,selection_id,bsp,ltp,best_back_3m,best_lay_3m,atb_ladder_3m,atl_ladder_3m,result,win
385,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,46055984,4.5,4.5,4.8,4.9,"{'price': [4.8, 4.7, 4.6], 'volume': [0.12, 137.6, 163.9]}","{'price': [4.9, 5, 5.1], 'volume': [124.88, 122.56, 50.63]}",LOSER,0
388,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,6612789,4.89,4.8,4.9,5.0,"{'price': [4.9, 4.8, 4.7], 'volume': [8.55, 156.51, 64.37]}","{'price': [5, 5.1, 5.2], 'volume': [32.58, 48.72, 36.04]}",LOSER,0
389,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,4657604,5.65,5.6,5.0,5.2,"{'price': [5, 4.9, 4.8], 'volume': [38.01, 78.57, 101.66]}","{'price': [5.2, 5.3, 5.4], 'volume': [36.76, 46.43, 40.49]}",LOSER,0
387,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,46055986,13.46,14.0,10.0,11.0,"{'price': [10, 9.8, 9.6], 'volume': [52.48, 21.32, 33.07]}","{'price': [11, 11.5, 12], 'volume': [43.3, 45.97, 20.75]}",LOSER,0
392,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,46055990,11.0,11.5,10.5,11.0,"{'price': [10.5, 10, 9.8], 'volume': [63.93, 60.8, 21.57]}","{'price': [11, 11.5, 12], 'volume': [6.75, 34.65, 48.8]}",LOSER,0
393,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,46055991,10.5,10.5,11.0,11.5,"{'price': [11, 10.5, 10], 'volume': [22.32, 37.71, 67.25]}","{'price': [11.5, 12, 12.5], 'volume': [11.47, 32.27, 46.42]}",LOSER,0
386,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,46055985,11.69,12.0,12.0,13.0,"{'price': [12, 11.5, 11], 'volume': [19.24, 24.14, 16.33]}","{'price': [13, 13.5, 14], 'volume': [7.23, 15.38, 52.95]}",WINNER,1
390,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,46055987,55.0,55.0,50.0,55.0,"{'price': [50, 48, 46], 'volume': [19.44, 0.9, 7.39]}","{'price': [55, 60, 65], 'volume': [0.29, 13.84, 13.82]}",LOSER,0
391,2022-06-22 02:25:00,Cranbourne,,1.200348653,R1 1200m 2yo,46055988,56.2,60.0,50.0,55.0,"{'price': [50, 48, 46], 'volume': [5.87, 6.71, 14.45]}","{'price': [55, 60, 70], 'volume': [13.38, 2.04, 0.6]}",LOSER,0
432,2022-06-22 03:00:00,Cranbourne,,1.200348659,R2 2080m Mdn,46055995,4.34,4.3,4.6,4.8,"{'price': [4.6, 4.5, 4.4], 'volume': [89.53, 168.4, 189.23]}","{'price': [4.8, 4.9, 5], 'volume': [123.11, 126.86, 129.11]}",LOSER,0
425,2022-06-22 03:00:00,Cranbourne,,1.200348659,R2 2080m Mdn,44711913,6.0,6.0,5.8,6.0,"{'price': [5.8, 5.7, 5.6], 'volume': [45.37, 101.73, 79.54]}","{'price': [6, 6.2, 6.4], 'volume': [58.69, 40.65, 99.06]}",LOSER,0
429,2022-06-22 03:00:00,Cranbourne,,1.200348659,R2 2080m Mdn,46055993,5.31,5.2,6.0,6.2,"{'price': [6, 5.9, 5.8], 'volume': [134.9, 96.06, 114.17]}","{'price': [6.2, 6.4, 6.6], 'volume': [103.13, 71.21, 109.79]}",LOSER,0
424,2022-06-22 03:00:00,Cranbourne,,1.200348659,R2 2080m Mdn,45168693,8.43,8.0,7.0,7.2,"{'price': [7, 6.8, 6.6], 'volume': [10.6, 72.56, 107.33]}","{'price': [7.2, 7.4, 7.6], 'volume': [69.28, 65.17, 30.49]}",WINNER,1
430,2022-06-22 03:00:00,Cranbourne,,1.200348659,R2 2080m Mdn,46055994,15.0,15.0,13.0,13.5,"{'price': [13, 12.5, 12], 'volume': [8.23, 37.98, 57.34]}","{'price': [13.5, 14, 14.5], 'volume': [45.08, 68.1, 36.34]}",LOSER,0
426,2022-06-22 03:00:00,Cranbourne,,1.200348659,R2 2080m Mdn,46055992,13.99,13.5,15.5,16.0,"{'price': [15.5, 15, 14.5], 'volume': [65.48, 128.43, 22.85]}","{'price': [16, 16.5, 17], 'volume': [65.17, 3.26, 31.68]}",LOSER,0
